DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
EVA'S x CINCO DE MAYO,11,WEST 8 STREET,Manhattan,10011,11 WEST 8 STREET Manhattan 10011,"11 west 8th street manhattan, ny 10011",Mexican,5/31/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,5/31/23,12/4/23,40.7325204,-73.996973
EL PARADOR CAFE,325,EAST 34 STREET,Manhattan,10016,325 east 34 STREET Manhattan 10016,"325 east 34th street manhattan, ny 10016",Mexican,3/30/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,16,B,3/30/23,12/4/23,40.7443476,-73.974846
BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032,1969 AMSTERDAM avenue Manhattan 10032,"1969 amsterdam avenue manhattan, ny 10032",Mexican,3/10/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,3/10/22,12/4/23,40.8331064,-73.941837
DELICIAS MEXICANAS,2109,3 AVENUE,Manhattan,10029,2109 3 avenue Manhattan 10029,"2109 3rd avenue manhattan, ny 10029",Mexican,2/17/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/17/23,12/4/23,40.7975283,-73.940308
JO'S TACO,226,EAST 14 STREET,Manhattan,10003,226 east 14 STREET Manhattan 10003,"226 east 14th street manhattan, ny 10003",Mexican,8/2/23,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,7,A,8/2/23,12/4/23,40.7329616,-73.986437
PLANET TACO,705,9 AVENUE,Manhattan,10019,705 9 avenue Manhattan 10019,"705 9th avenue manhattan, ny 10019",Mexican,8/22/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9,A,8/22/22,12/4/23,40.7624242,-73.989734
LA ESQUINA,1402,2 AVENUE,Manhattan,10021,1402 2 avenue Manhattan 10021,"1402 2nd avenue manhattan, ny 10021",Mexican,12/1/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18,B,12/1/22,12/4/23,40.7693694,-73.95793
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,3/8/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,B,3/8/23,12/4/23,40.7180304,-73.989971
SAN LOCO,111,STANTON STREET,Manhattan,10002,111 STANTON STREET Manhattan 10002,"111 stanton street manhattan, ny 10002",Mexican,7/27/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0,A,7/27/22,12/4/23,40.7210933,-73.987366
SABOR A MEXICO,1744,FIRST AVENUE,Manhattan,10128,1744 FIRST avenue Manhattan 10128,"1744 1st avenue manhattan, ny 10128",Mexican,4/25/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10,A,4/25/23,12/4/23,40.7796441,-73.947337
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,9/19/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,B,9/19/23,12/4/23,40.7711957,-73.983328
LA PALAPA,77,ST MARKS PLACE,Manhattan,10003,77 ST MARKS PLACE Manhattan 10003,"77 saint marks place manhattan, ny 10003",Mexican,4/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/19/22,12/4/23,40.727837,-73.985864
