DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,10026,2099 FREDERICK DOUGLASS BOULEVARD Manhattan 10026,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,B,8/16/23,12/4/23,0,0
ZONA TRIBECA MEZCALERIA,353,GREENWICH STREET,Manhattan,10013,353 GREENWICH STREET Manhattan 10013,"353 greenwich street manhattan, ny 10013",Mexican,8/31/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,0,A,8/31/22,12/4/23,40.7186919,-74.010408
CASA CARMEN,114,FRANKLIN STREET,Manhattan,10013,114 FRANKLIN STREET Manhattan 10013,"114 franklin street manhattan, ny 10013",Mexican,5/10/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,5/10/23,12/4/23,40.7186263,-74.006082
LA CHULA,137,EAST 116 STREET,Manhattan,10029,137 east 116 STREET Manhattan 10029,"137 east 116 street manhattan,ny 10029",Mexican,4/7/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,4/7/22,12/4/23,40.798756,-73.941929
TACO BELL,1266,1 AVENUE,Manhattan,10065,1266 1 avenue Manhattan 10065,"1266 1st avenue manhattan, ny 10065",Mexican,11/2/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,11/2/22,12/4/23,40.7653702,-73.957759
OFRENDA,113,7 AVENUE SOUTH,Manhattan,10014,113 7 avenue SOUTH Manhattan 10014,"113 7th avenue south manhattan,ny 10014",Mexican,4/18/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4/18/23,12/4/23,40.7338791,-74.002634
EL PASO TAQUERIA,64,EAST 97 STREET,Manhattan,10029,64 east 97 STREET Manhattan 10029,64 east 97th street manhattan 10029,Mexican,11/21/22,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,22,B,11/21/22,12/4/23,40.7874718,-73.952682
SINIGUAL,640,3 AVENUE,Manhattan,10017,640 3 avenue Manhattan 10017,"640 3rd avenue manhattan, ny 10017",Mexican,1/18/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,1/18/23,12/4/23,40.7501967,-73.974869
BISTRO CASA AZUL,343,PLEASANT AVENUE,Manhattan,10035,343 PLEASANT avenue Manhattan 10035,"343 pleasant avenue manhattan, ny 10035",Mexican,1/25/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,1/25/23,12/4/23,40.7964944,-73.932111
CHIPOTLE MEXICAN GRILL #3641uy;,350,5 AVENUE,Manhattan,10118,350 5 avenue Manhattan 10118,"350 5th avenue manhattan, ny 10118",Mexican,2/3/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,2/3/22,12/4/23,40.7482689,-73.98469
TOLOACHE,166,EAST 82 STREET,Manhattan,10028,166 east 82 STREET Manhattan 10028,"166 east 82 street manhattan, ny 10028",Mexican,3/10/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,3/10/23,12/4/23,40.7765849,-73.956734
WHOLESOME TAQUERIA,503,MAIN STREET,Manhattan,10044,503 MAIN STREET Manhattan 10044,"503 main street manhattan, ny 10044",Mexican,11/15/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,11/15/22,12/4/23,40.7608963,-73.950867
DOS TOROS,137,4 AVENUE,Manhattan,10003,137 4 avenue Manhattan 10003,"137 4th avenue manhattan, ny 10003",Mexican,7/13/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7,A,7/13/23,12/4/23,40.7336564,-73.989864
DOS TOROS,119,WEST 40 STREET,Manhattan,10018,119 WEST 40 STREET Manhattan 10018,"119 west 40th street manhattan, ny 10018",Mexican,4/24/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,7,A,4/24/23,12/4/23,40.7539699,-73.986028
CASA CARMEN,5,WEST 21 STREET,Manhattan,10010,5 WEST 21 STREET Manhattan 10010,"5 west 21st street manhattan, ny 10010",Mexican,8/10/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,8/10/23,12/4/23,40.7405046,-73.991087
MAD DOG & BEANS,83,PEARL STREET,Manhattan,10004,83 PEARL STREET Manhattan 10004,"83 pearl street manhattan, ny 10004",Mexican,1/17/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,1/17/23,12/4/23,40.7040485,-74.010153
TACO BELL,1266,1 AVENUE,Manhattan,10065,1266 1 avenue Manhattan 10065,"1266 1 avenue manhattan, ny 10065",Mexican,11/2/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,11/2/22,12/4/23,40.7653702,-73.957759
GREAT BURRITO RESTAURANT,100,WEST 23 STREET,Manhattan,10011,100 WEST 23 STREET Manhattan 10011,"100 west 23rd treet manhattan , ny 10011",Mexican,10/13/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,10/13/22,12/4/23,40.7430739,-73.993237
FACTORY TAMAL,63,EAST 4 STREET,Manhattan,10003,63 east 4 STREET Manhattan 10003,"63 east 4th street manhattan, ny 10003",Mexican,4/3/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,4/3/23,12/4/23,40.7267177,-73.990663
TACOS GRAND CENTRAL,711,2 AVENUE,Manhattan,10016,711 2 avenue Manhattan 10016,"711 2nd avenue manhattan, ny 10016",Mexican,2/24/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2/24/22,12/4/23,40.7474875,-73.973921
CASCALOTE LATIN BISTRO,2126,2 AVENUE,Manhattan,10029,2126 2 avenue Manhattan 10029,"2126 2nd avenue manhattan, ny 10029",Mexican,1/11/23,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Not Critical,2,A,1/11/23,12/4/23,40.7927335,-73.94088
RUBY'S VINTAGE HARLEM,2340,7 AVENUE,Manhattan,10030,2340 7 avenue Manhattan 10030,"2340 7th avenue manhattan, ny 10030",Mexican,6/2/22,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,6/2/22,12/4/23,40.8166439,-73.94273
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,10026,2099 FREDERICK DOUGLASS BOULEVARD Manhattan 10026,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,27,B,8/16/23,12/4/23,0,0
EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029,1634 LEXINGTON avenue Manhattan 10029,"1634 lexington avenue manhattan, ny 10029",Mexican,5/3/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,B,5/3/23,12/4/23,40.7904065,-73.947628
EL COCO,202,8 AVENUE,Manhattan,10011,202 8 avenue Manhattan 10011,"202 8th avenue manhattan, ny 10011",Mexican,5/25/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,5/25/22,12/4/23,40.7436038,-73.999697
SUMMER SALT,275,MADISON AVE,Manhattan,10016,275 MADISON AVE Manhattan 10016,"275 madison ave manhattan, ny 10016",Mexican,3/29/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,3/29/23,12/4/23,40.7512545,-73.979868
DOS CAMINOS,373,PARK AVENUE SOUTH,Manhattan,10016,373 PARK avenue SOUTH Manhattan 10016,"373 park avenue south manhattan, ny 10016",Mexican,2/8/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2/8/22,12/4/23,40.7423677,-73.984757
TACO BELL,1501,BROADWAY,Manhattan,10036,1501 BROADWAY Manhattan 10036,"1501 broadway manhattan, ny 10036",Mexican,11/22/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,11/22/23,12/4/23,40.7570962,-73.986193
TORO LOCO,15,STONE STREET,Manhattan,10004,15 STONE STREET Manhattan 10004,"15 stone street manhattan, ny 10004",Mexican,8/9/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,8/9/22,12/4/23,40.7040264,-74.012068
LOLITAS KITCHEN & BURGER HOUSE,1364,LEXINGTON AVENUE,Manhattan,10128,1364 LEXINGTON avenue Manhattan 10128,"1364 lexington avenue manhattan, ny 10128",Mexican,2/27/23,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,2/27/23,12/4/23,40.7822022,-73.953621
DOS TOROS,10,EAST 48 STREET,Manhattan,10017,10 east 48 STREET Manhattan 10017,"10 east 48th street manhattan, ny 10017",Mexican,9/20/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/20/23,12/4/23,40.7570125,-73.977502
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
TAQUERIA Y FONDA LA MEXICANA,968,AMSTERDAM AVENUE,Manhattan,10025,968 AMSTERDAM avenue Manhattan 10025,"968 amsterdam avenue manhattan, ny 10025",Mexican,2/8/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,2/8/23,12/4/23,40.8014552,-73.964971
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,11/2/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,11/2/23,12/4/23,40.7337417,-73.992957
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,2/3/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,2/3/22,12/4/23,40.7711957,-73.983328
SINIGUAL,640,3 AVENUE,Manhattan,10017,640 3 avenue Manhattan 10017,"640 3rd avenue manhattan, ny 10017",Mexican,1/18/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,1/18/23,12/4/23,40.7501967,-73.974869
RANCHO TEQUILERIA,741,9 AVENUE,Manhattan,10019,741 9 avenue Manhattan 10019,"741 9th avenue manhattan, ny 10019",Mexican,6/16/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,13,A,6/16/22,12/4/23,40.7635769,-73.988889
QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029,158 east 116 STREET Manhattan 10029,"158 east 116th street manhattan, ny 10029",Mexican,10/5/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23,B,10/5/23,12/4/23,40.7983713,-73.941066
TAQUERIA SANTA FE,2248,1 AVENUE,Manhattan,10029,2248 1 avenue Manhattan 10029,"2248 1st avenue manhattan, ny 10029",Mexican,9/20/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,9/20/23,12/4/23,40.7956483,-73.935651
BAR TULIX,25,WEST HOUSTON STREET,Manhattan,10012,25 WEST HOUSTON STREET Manhattan 10012,"25 west houston street manhattan, ny 10012",Mexican,1/24/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,19,B,1/24/23,12/4/23,40.7259248,-73.997904
PANCHO'S ANTOJITOS MEXICANOS,964,AMSTERDAM AVENUE,Manhattan,10025,964 AMSTERDAM avenue Manhattan 10025,"964 amsterdam avenue manhattan, ny 10025",Mexican,4/26/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,4/26/22,12/4/23,40.801329,-73.965065
OXIDO,1450,BROADWAY,Manhattan,10018,1450 BROADWAY Manhattan 10018,"1450 broadway manhattan, ny 10018",Mexican,3/3/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,3/3/23,12/4/23,40.7549197,-73.98666
LAS PALMAS RESTAURANT,3891,BROADWAY,Manhattan,10032,3891 BROADWAY Manhattan 10032,"3891 broadway manhattan, ny 10032",Mexican,10/18/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10,A,10/18/23,12/4/23,40.8375312,-73.942347
DOS TOROS,101,MAIDEN LANE,Manhattan,10038,101 MAIDEN LANE Manhattan 10038,"101 maiden lane manhattan, ny 10038",Mexican,3/1/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A,3/1/23,12/4/23,40.7069555,-74.007091
PICANTE MEXICAN BAR AND GRILL RESTAURANT,3424,BROADWAY,Manhattan,10031,3424 BROADWAY Manhattan 10031,"3424 broadway manhattan, ny 10031",Mexican,3/8/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/8/22,12/4/23,40.8228243,-73.953069
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,9/19/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,18,B,9/19/23,12/4/23,40.7711957,-73.983328
AGAVE,140,7 AVENUE SOUTH,Manhattan,10014,140 7 avenue SOUTH Manhattan 10014,"140 7th avenue south manhattan, ny 10014",Mexican,3/30/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,22,B,3/30/23,12/4/23,40.7347272,-74.002176
DOS TOROS,137,4 AVENUE,Manhattan,10003,137 4 avenue Manhattan 10003,"137 4th avenue manhattan, ny 10003",Mexican,7/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,7/13/23,12/4/23,40.7336564,-73.989864
SKINNY CANTINA,703,W 133RD ST,Manhattan,10027,703 W 133RD ST Manhattan 10027,"703 west 133rd street manhattan, ny 10027",Mexican,3/23/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,3/23/22,12/4/23,40.8200351,-73.958938
BARRIO CHINO,253,BROOME STREET,Manhattan,10002,253 BROOME STREET Manhattan 10002,"253 broome street manhattan, ny 10002",Mexican,9/8/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,A,9/8/22,12/4/23,40.7180304,-73.989971
IGUANA RESTAURANT,240,WEST 54 STREET,Manhattan,10019,240 WEST 54 STREET Manhattan 10019,"240 west 54 street manhattan, ny 10019",Mexican,2/8/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/8/22,12/4/23,40.7642239,-73.982965
TOLOACHE MEXICAN BISTRO,251,WEST 50 STREET,Manhattan,10019,251 WEST 50 STREET Manhattan 10019,"251 west 50 street manhattan, ny 10019",Mexican,3/29/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,3/29/22,12/4/23,40.7618445,-73.985041
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55 street manhattan, ny 10019",Mexican,11/7/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,11/7/22,12/4/23,40.7622795,-73.976363
WIMPY'S RESTAURANT,2334,2 AVENUE,Manhattan,10035,2334 2 avenue Manhattan 10035,"2334 2nd avenue manhattan , ny 10035",Mexican,2/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/3/23,12/4/23,40.7992662,-73.936103
MEXICUE,225,5 AVENUE,Manhattan,10010,225 5 avenue Manhattan 10010,"225 5th avenue manhattan, ny 10010",Mexican,12/27/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,B,12/27/22,12/4/23,40.74382,-73.987907
THE RED GRILL MEXICAN RESTAURANT,1701,2 AVENUE,Manhattan,10128,1701 2 avenue Manhattan 10128,"1701 2nd avenue manhattan, ny 10128",Mexican,2/28/23,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,2/28/23,12/4/23,40.7792724,-73.950735
PAQ'S TAKE OUT,143,1 AVENUE,Manhattan,10003,143 1 avenue Manhattan 10003,"143 1st avenue manhattan, ny 10003",Mexican,4/13/22,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,23,B,4/13/22,12/4/23,40.7280208,-73.984984
AMERICAN RESTAURANT,1467,AMSTERDAM AVENUE,Manhattan,10027,1467 AMSTERDAM avenue Manhattan 10027,"1467 amsterdam avenue manhattan, ny 10027",Mexican,8/4/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,11,A,8/4/23,12/4/23,40.8171785,-73.953474
AZULE CANTINA,31,WEST 52 STREET,Manhattan,10019,31 WEST 52 STREET Manhattan 10019,"31 west 52 street manhattan, ny 10019",Mexican,7/26/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,7/26/22,12/4/23,40.7604847,-73.977937
LA PILITA DELI GROCERY,3866,10 AVENUE,Manhattan,10034,3866 10 avenue Manhattan 10034,"3866 10th avenue manhattan, ny 10034",Mexican,4/28/22,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,4/28/22,12/4/23,40.864303,-73.919062
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,,2099 FREDERICK DOUGLASS BOULEVARD Manhattan,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,27,B,8/16/23,12/4/23,0,0
LUPITA MEXICAN RESTAURANT,3829,BROADWAY,Manhattan,10032,3829 BROADWAY Manhattan 10032,"3829 broadway manhattan, ny 10032",Mexican,2/6/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,14,B,2/6/23,12/4/23,40.8355941,-73.943765
DOS TOROS,1,STATE STREET,Manhattan,10004,1 STATE STREET Manhattan 10004,"1st state street manhattan, ny 10004",Mexican,7/25/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,13,A,7/25/23,12/4/23,40.7023877,-74.012948
MI CASITA RESTARANT,1484,AMSTERDAM AVENUE,Manhattan,10031,1484 AMSTERDAM avenue Manhattan 10031,"1484 amsterdam avenue manhattan, ny  10031",Mexican,2/7/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,9,A,2/7/23,12/4/23,40.8178535,-73.953007
KAHLO,525,WEST 29 STREET,Manhattan,10001,525 WEST 29 STREET Manhattan 10001,"525 west 29 street manhattan, ny 10001",Mexican,8/30/22,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,10,A,8/30/22,12/4/23,40.7519287,-74.00257
"LA ESQUINA ""THE CORNER""",106,KENMARE STREET,Manhattan,10012,106 KENMARE STREET Manhattan 10012,"106 kenmare street manhattan , ny 10012",Mexican,11/21/22,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,16,B,11/21/22,12/4/23,40.7214536,-73.997457
HOT JALAPENO RESTAURANT,219,EAST 116 STREET,Manhattan,10029,219 east 116 STREET Manhattan 10029,"219 east 116th street manhattan, ny 10029",Mexican,6/15/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,6/15/22,12/4/23,40.7976842,-73.939391
ROSA MEXICANO,251,EAST 52 STREET,Manhattan,10022,251 east 52 STREET Manhattan 10022,"251 east 52nd street manhattan, ny 10022",Mexican,7/13/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,7/13/23,12/4/23,40.7565905,-73.968691
SOL MEXICAN COCINA,220,5 AVENUE,Manhattan,10001,220 5 avenue Manhattan 10001,"220 5th avenue manhattan, ny 10001",Mexican,5/12/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,5/12/23,12/4/23,40.7436032,-73.988091
TACO ZONE,1750,1 AVENUE,Manhattan,10128,1750 1 avenue Manhattan 10128,1750 1st avenue manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,25,B,8/22/23,12/4/23,40.7798335,-73.947199
TACO BELL,18,EAST 14 STREET,Manhattan,10003,18 east 14 STREET Manhattan 10003,"18 east 14 street manhattan, ny 10003",Mexican,1/23/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A,1/23/23,12/4/23,40.7356108,-73.992711
CANTINA CAQUERIA & TEQUILIA BAR,2099,FREDERICK DOUGLASS BOULEVARD,Manhattan,,2099 FREDERICK DOUGLASS BOULEVARD Manhattan,"2099 frederick douglass boulevard manhattan, ny 10026",Mexican,8/16/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,B,8/16/23,12/4/23,0,0
